제목,평점,내용
cannot watch twice.,5,"5 out of 8 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Awesome Movie,10,"My girls and I LOVED this movie! It was amazing. The little girl in me cried and the mom in me was so proud. We will definitely see this one again. I was impressed with the diversity of all the characters which made it way more realistic. The original will always be a classic, however this one is right up there with it. Sebastián, flounder and Scuttle took a little getting use to but by the second scene it sinks in. Halle and Melissa were amazing in this film. I don't think they could have found anyone more perfect than those two. The music was amazing as ever and the dance choreography was on point. Everyone did an amazing job!"
The Little Meh-maid,5,"Let me just preface this by saying I think Halle Bailey was absolutely incredible in the role & has an incredible singing voice. Plus she is absolutely stunning! But the movie is just lacking the magic. I was so excited to see this movie with my children & when it was finished I asked my 8 year old what she thought and she said ""It was just okay"". And sadly I agree. I can't put my finger on what exactly went wrong here, but the music and the film in general just lacked something. I think maybe they should've borrowed some animators from Pixar to make the graphics a little more life-like. It was very heavy & very obvious cgi that kind of took me out of it."
Childhood Memories: Unlocked.,10,"When I tell you the new The Little Mermaid is better than any other live action remake, you may think, ""well, that's not hard to do!"" And it's true... I haven't liked any other one. (Aladdin was pretty good and far better than it's predecessors, but none of them have been great.)

This move is so good I don't even want to refer to it as a ""live action remake"". For once, the casting was perfection. PERFECTION. They honored the original script so much it brought me back to my childhood!

Halle Bailey is complete and utter enchantment. Her purity, innocence, & feistiness all blew away the highest of expectations. I was catching my breath as I cried hearing and seeing ""Part of Your World"". Her eyes tell the story... which is one of the biggest challenges for seasoned actors. She's so young and she understood the assignment.

Javier Bradem, Melissa McCarthy, Daveed Diggs & Awkwafina... I knew they'd all be good. I had NO IDEA HOW GOOD.

And thank you, Lin-Manuel Miranda for bringing your magic and fresh look to one of the all time, most beloved Disney classics. You seemed to seamlessly blend into the team of Menken & Ashman and the music that was such a gift 30 years ago.

Please go see this film. You deserve it. Your inner child needs it. I cried 4 times and regret none of it.

I'm seeing it again on Saturday."
A musical movie with a repeated story,4,"I did not like the movie. It is less than normal. The story and events have been repeated for years. There is no renewal from the first minute in the movie You can easily expect all the story. It has many songs within the limits of 7 songs. There are no heroes or story . No excitement or effects.

The graphics are also not wow and not bad. A mermaid loves a human, so a witch turns her into a human, on the condition that she gives a kiss of love within 3 days A very, very old story.

I felt that I wasted a lot of time during the movie

I did not like the movie. It is less than normal. The story and events have been repeated for years. There is no renewal from the first minute in the movie You can easily expect all the story. It has many songs within the limits of 7 songs. There are no heroes or story . No excitement or effects."
I wanted to like this.,5,"20 out of 31 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
A lovely remake!,8,"3 out of 24 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Cash Grab,5,"We know WHY, they did it, get money off us, but WHY, do this. It's not good, not even average, Dumbo which was 2019, is better than this. The cast is good they do look nice, Javier Bardem as King Triton, he is good, and they can sing- mostly. The costumes and Italy, look wonderful. But the dialogue, does not work sometimes, the songs feel really weird too. Underwater scenes, they fall flat, only three work, as the visual FX is a mess. 70% of time it's bad, very bad. The creatures, they try to make them have the fun of the cartoon, but they look and move freakish, and the singing number with Sebastian (Daveed Diggs) and Scuttle,(Awkwafina), is a horror. Not worth the trip, sorry."
Brought a much needed life to the fairytale.,8,"9 out of 55 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Great Score / Lifeless Acting,5,"I walked into the theater with mild expectations of what Disney could do with a beloved childhood movie.

Sadly, I was unimpressed with the lack of emotion I felt from the lead characters. Even Triton felt very dull. Was it the music? Was is the acting? Disney, please explain the casting choice.

The only thing that saved the movie was the beautiful CGI and the remarkable score. I'm a sucker for some good music and Alan Menken did not disappoint. Every bit if emotion that felt real was heavily induced by the music.

If you're going to watch The Little Mermaid, only go for the music and Halle's gorgeous voice."
Really enjoyable,8,"9 out of 28 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Massive Disappointment,1,"I went into the film to see for myself what all of the hype was about. I don't know how you improve on a masterpiece, but every week, they are bent on trying to remake another one. Remember the animated original with inspired songs that we all still know and love today? The ones we share with our grandchildren?

Well, this ain't it.

I don't really care if I hurt anyone's feelings here. I review film and call it like I see it. The film seemed very uninspired to me and a little off kilter. Like they wanted to do something more, but didn't quite get there. The plot seemed a little disjointed. The summary of the film says she cuts a deal to get to the surface to impress a prince. To me, Ariel was 'curious' about the prince, but did not act like she 'needed' him. Something the animated original handled really well. I very much liked the original because it was the old school formula of princes and princesses.

The songs were very unmemorable. You won't be hearing these 10 years from now. We'll never know how much of the singers were from the actors or how much was filled in by the studio. I guess it doesn't matter.

Under this new Disney leadership, it seems they're more interested in an agenda than in really good storytelling. The last 4 animated outings were complete failures to entertain. I had hoped this live action would be a return to the good old fashioned storytelling, but alas, it wasn't to be. I'd like to give it two stars, but based on my rating system, I just can't. Pass on this one. You'll be able to watch it for free in a couple of weeks. Then punch yourself in the face and ask yourself why you did in the first place."
Who was this movie for?,2,"23 out of 30 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
it's a good movie,8,"7 out of 39 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
"Not as good, as expected.",2,"8 out of 11 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
It flows so smoothly,8,"Time flies. It all flows so smoothly and nicely. The movie stays very true to the original, simply seems and feels more real. Halle embodies Ariel so well it makes you question the original 😂 she's got this naive and childish thing about her that fits so well. Her singing and acting gives you literal chills and passes emotions on powerfully.

The original music is so nice and the lyrics changes are so subtle and benevolent.

I don't have anything negative to say about it. It's a new version of the story and I hope people will be opened to it and accept to be transported by it.

Ps: Eric is such a babe, someone help me."
Magical moments but doesn't live up to the original Little Mermaid,1,"I went in with hopes that it would bring the magic the original ""Little Mermaid"" brought me as a child but, in its own unique way. I was very disappointed that they did not make the film fitting for this day and age. They followed the same exact storyline as the original, but added some which made it watchable although at times I felt like the film was being dragged out with fillers.

I think they would have found much more success changing the storyline or putting a spin on it for the lovely and talented Halle Bailey to shine in. As an audience, we all deserved that change as well, especially considering the amount of build up and anticipation we felt for the film to release in theaters."
BEAUTIFUL,10,"Everything about this movie was BEAUTIFUL, the actors, the cinematography, the colour grading, the motifs, THE SINGING!!!!!!! JONAH HAUER-KING!!!!!! HALLE THEE MF BAILEY!!!!!!!!! BEAUTIFUL!!!!!!!

The chemistry between ariel and eric needs to be studied they had me twirling my hair and kicking my feet.

I'd also like to proclaim that i was a jonah hauer-king truther from the very start and he was getting flooded with comments about h*rry st*les.

""Uncharted Waters"" was a BANGER, well done & a round of applause to everyone involved in that, it made my crush on Jonah grow by tenfold.

Halle is my bbygrl and i've been a fan of hers since 2019 and i'm so incredibly proud of her like oh my god."
Bad decisions at the helm,4,"9 out of 12 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
"Poor CGI, terrible lighting choice, subpar acting.",3,"The CGI looked amateurish often, and the dark lighting was a big mistake. The acting by Ariel and Eric was.....sufficient, but uninspiring. The 'real life' sea creature animals are just disappointing, going with this design was a major mistake by the producer and director.

Some of the songs were great, as the classics they always were, however some of the additions to the musical list were just a poor choice and forgettable. McCarthy fit her role perfectly and was the best casting choice in this entire film, but this just canxels out a wooden performance by Bardem. Overall this feels like a pointless live action remake that is Disney's standard cash grab the days, and misses even that low mark."
A modern take to the beloved classic!,9,"The Little Mermaid captures moments from the original film and gives us new angles to scenes that we already know and expected.

Halle is wonderful as Ariel and becomes the essence of the movie. Melissa McCarthy does a very good portrayal of the sea witch. Javier Bardem falls a bit short as King Triton.

Visually many things work, and the CGI feels organic and well done except for the final battle.

There is much thats good in this film that in essence is very faithful to the animated version although with slight changes and it is easy to realize after seeing it why there are so many people saying that it is the best Live action Disney."
Not impressed,2,I was a huge fan of the original Little Mermaid and was super excited to see this. My excitement quickly turned to disappointment. It was underwhelming and the live action movies that Disney makes don't hold up to their original masterpieces. The graphics were beautiful but that's about it. I have no idea why this has the rating it does. Trust me it's underwhelming and strays from the original storyline and what the characters stood for. I have always loved this movie because I'm a natural red head and seeing Ariel always made me feel included. I was always made fun of but watching the original made me feel like I was normal. I feel that with this movie it doesn't compare to the original in fact it seems more unrealistic to me.
"Good film for young, old and the inbetween",9,"Berry's performance is admirable. She's clearly worked on her role extremely well because she genuinely sounds just like the animated version in both speech and singing. I was hoping it wouldn't be a shot for shot remake, but it pretty much was. There's plenty of new scenes and new songs but I paid money to see a movie I've seen 100 times before. McCarthy's Ursula was great! I'm hoping this opens up a whole new villain era for her because she nailed it. Only let down was the often awkward digital animation of the sea people's unusual parts and it was distracting enough to remind me Bardem doesn't really have a tail. I was grateful for an ever so slightly different relationship arc between the characters. It made it more interesting to watch than the animated version.

Very entertaining and absolutely worth a watch at least once. As a parent, suspect it'll be a lot more often than that though."
Not A Very Good Movie,1,"The original movie was a classic. This one is not. This is just a rehash of old idea. The original movie had Ariel (the mermaid) who wanted to be something she was not. The original movie had Ursula (the bad witch) a very clear bad women. The original movie had the Prince (who Ariel wants to kiss her). The new movie has nothing new. Just another failing effort to squeeze cash out of a dying franchise. The fall of Disney reminds me of the fall of the US automakers. They had a reputation for building solid, reliable cars. They sold off that reputation for short-term cash. Disney is now doing the same thing. Selling off it's reputation for short-term cash. Sadly, Disney is in decline (possibly terminal). This movie is just another data point in the fall."
"Beautifully Done, Wonderfully Made",10,"Halle Bailey does not disappoint! Beautiful voice, beautiful cinematography! Little girls everywhere will LOVE this movie. Good entertainment and fun for children! Great family outing!! Thank you Disney! You put the best cast together and gave us another classic. Now I would have preferred a deep voice Ursula like the cartoon, but I can't have it ALL my way. I also would like a more cohesive looking sisterhood, but I get what you were trying to do. When you decide to make a Little Mermaid sequel, I would love to see Ariel's hair a fiery red. I also would like to see Daniel Brooks or Queen Latifah as Ursula ."
Another Remake?,3,"I am not a movie critic. I am just a parent who wants to be entertained when I see a movie. That did not happen with this movie. I only saw the movie because I went with a friend and their young kids. I thought the acting was fine and I didn't care what race the actors were. I just wonder why they would want to remake this movie? Was it just for the live action portion? Ok that was nicely done but the original was a one of a kind. Made back when there was no agenda and the animation was great for back then. Are all the older animated movies going to be remade in live action? I hope not. This movie reminded me of Avatar: The Way of Water, but with singing. Call me old fashion but I don't want to the the same movie again just because it is live action."
Lacking magic but doable adaptation,5,"The film suffers the same as Beauty & the Beast and Lion King... they focused too much on realism that the magic just didn't hit right. Like the film is average. They're all fine overall but there's just something lacking. IF you loved BB and LK you're likely to like this movie too.

To me it's just not how when you watch the originals for the first time and your eyes are wowed though the visuals for Little Mermaid are alright tbh. The stills definitely did not do it justice! They did give good color but bordering gloomy though it's not as dark so you can see the details and such. I liked the CGI for Sebastian and Scuttle but I'm used to uncanny CGI so I understand some people's reactions to it.

Perhaps it's the grounded expressions? Jessica who played Vanessa was top with it. She had these great facial expressions that really gave the emotions. It was bordering like the cartoon tbh. Meanwhile the rest of the cast didn't do much, Halle was lacking in that department but especially with Eric.. he just looked sad all the time lmao. However, I found magic in the Cinderella adaptation which was also grounded so perhaps it's not that. Maybe it's the costumes? It was sad to see Ariel only wearing 2 outfits and not one of them was the ""wow princess royal dress"". It was giving similar to that limp yellow dress of Belle. Where's the sparkle? Where's the wow? Perhaps it's the color grading? It's not as saturated since they did keep it ""real"" which isn't all bad...I did miss Ariel's red hair especially with Ursula calling her red... I don't understand why she had the muted ginger hair? She's a mermaid! Her sister has bright pink hair why couldn't she have unmistakable red?

Halle's singing is the best of the movie. I'd say. She sounds like Ariel. And even if her acting isn't the best she does give this innocence and vibe that's very Ariel especially for the Part of Your World. That scene was just chef's kiss.

As for the love I don't know what others are saying about chemistry because I didn't see that with Jonah and Halle. They came across as friends to me. As for the changes in the story, they did fine. They gave some lift to the plot which is good. Gave some more depth to the characters. So yeah had it's ups and downs like all movies but overall not bad, but also not something I personally would rewatch."
Absolutely Amazing,10,"This movie is inspired by the animated film because it is not exactly a remake. It's a movie of it's own, catering to a different generation but sharing one same magical story. Halle Bailey has a magical voice that embodies Ariel and she makes this character her own. Brilliant performance by Melissa McCarthy as Ursula. The actress that plays Ursula's human disguise, Vanessa puts up a brilliant performance within the short duration. 2-3 new songs added and 2 songs from the original animated film is not included. Sebastian is hilarious and Scuttle overpowers Flounder. Go in without expecting to watch a remake and I'm sure you'll enjoy it!"
The view did it good but story line not makes sense.,5,"48 out of 92 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Surprisingly better than animated!,10,"10 out of 49 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
It doesn't have the same magic as the original.,3,"The Little Mermaid is a good example of what's wrong with Disney these days (at least in my opinion) - besides some casting choices that may rise pro and contra voices (I don't care), this movie is dead like plastic. The songs are stale and uninspired, the special effects department did okay, the actors did okay, but well, the formula of Disney movies is now a walking dead corpse, too many times chewed on. But this is not only a question of modern changes to fit to the taste of zeitgeist but for a long time Disney is like a recycling factory: with every turn of the machine the product gets worse and worse, at least if you don't add something new, fresh and substantial, something creative. So my greatest complain: the music is average, the visuals are average, the story is the typical Disney blabla, the entertaining factor is rather low. A typical movie made from the construction kit branded ""Disney"". But maybe I'm just getting old and grumpy and my by age weakened eyes and heart cannot see the beauty in this, well, product."
Best live action remake!,10,"I went to the cinema opening night with the family, everyone was excited and the film didn't disappoint, the cast were brilliant, the story was better detailed giving more substance to Ursula and Eric which was good. Hallie Bailey was brilliant as Ariel, her voice was incredible. Loved Skuttle, really funny. I would honestly recommend this film, i dont care that Ariel is black, the fact Ariel is played by a woman of colour makes no difference at all, nobody in the cinema cared, they just laughed along and enjoyed the film. Film is really colourful, new songs aswell & Melissa McCarthy is fabulous."
Just why?,3,"12 out of 17 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
"Not good, not great, but not Waterworld.",2,"This movie wasn't great , and it wasn't horrible either. 3/4 of the way through my kids were asking if the movie was almost over. The movie is way too long and there were added parts in the movie that were unnecessary and un-meaningful. They just made no sense. I am not a huge fan of the original little mermaid but much of the same dialogue and songs were the same. When this movie tried to sail in uncharted territory from the original, it was just flat.

Actually , the whole movie left me pretty monotoned when leaving. I was highly disappointed in the CGI. Flounder and Sebastian were done dirty in this movie. There was also a lack of chemistry between all the characters. I felt like the ""relationship"" was forced between Eric and Ariel. My six year olds did enjoy it, but I suffered through the movie sadly. I am just hoping my girls will not want to watch this movie on repeat when it comes on Disney+."
Amazing,10,If you are expecting a live action remake of the whole original story this movie is not for you theres a lot of things you can see on cartoons but not in live action movies of course the originals will always be better. But in this case its a really great movie worth watching every second of it I trully recomend it to everyone but keep an open mind of reality. I would give it 100 stars if I could realy good acring and the girl who played Ariel bravooooooo i take my hat of and give u a stanving ovation she nailed it 1000% I cant wait to the blue ray release so I can ad it to my collection. WOW!
Disappointing chemistry,2,"Ariel and Eric don't seem to have a lot of chemistry, that scene on the carriage ride was no good vibes between the two.

They changed lyrics to 2 of the songs for very small reasons, there wasn't really a reason to do so.

What the heck is going on with Flounder and Scuttle? The animation was just weird for those two. I get that it's a live action so it's supposed to be more realistic but there has to be better was to do it.

Ariel doesn't have the flaming red hair, how can you call it a 'live action remake' when she doesn't have the red hair?

Not 1 star because: Ursula was fantastic vocally and Ariel's voice was good in its own way. Kudos to the singing capabilities of those two."
Better Than Expected,9,"9 out of 42 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Another Disney Repeat - No Originality,3,"Although it isn't the worst film I've seen, Disney really needs to come up with some original ideas. How many times are they going to repackage old films? The script seemed rather rushed and not fully hashed out, leaving me feeling underwhelmed. I wouldn't watch it again as I didn't enjoy it as much as the original version. Moreover, the lack of innovative storytelling and reliance on nostalgia made the viewing experience predictable and unexciting. It's about time Disney takes more creative risks and explores new narratives that captivate audiences and push the boundaries of imagination. While the film had its moments, it relied heavily on familiar tropes and plotlines, failing to offer anything truly groundbreaking. The characters felt like mere replicas of their original counterparts, lacking depth and complexity. Additionally, the pacing felt off, with certain scenes dragging on unnecessarily while others felt rushed. The cinematography and visual effects were impressive, but they couldn't compensate for the lackluster storyline. I longed for a fresh and imaginative take on the source material, but instead, I was presented with a mediocre rehash that failed to capture the magic of the original. Disney has a wealth of talented writers and storytellers at their disposal; it's time they give them the freedom to explore new territories and deliver truly unforgettable cinematic experiences."
The Little Mermaid - Good experience but slightly disappointed,8,"4 out of 16 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Just not visually stimulating,1,"Okay so first it is kinda cool that the actress playing Ariel got to bring her grandfather who watched his grandfather pick cotton and was able to watch his granddaughter star in a movie. However movies are not made simply through good backstory of the actors or good intentions of a company. The cgi was underwhelming. The look of beloved characters was weird and lost their endearing quality. I would rather Flounder look like an animation and not as much like a real fish to keep that magic. The changes to the songs kinda hurt my heart and my memories of the original animated version. The movie was dark and not the bright movie it should have been. It was pretty blah and pretty boring for what it could have been. As a remake it already loses some rating with me because if you are going to redo a story it should be hands above the original and amazing. If it can't be, why bother? Would have been better to create an entirely new story instead of rehashing and rebranding a beloved classic. Between it being a remake, a live action, and the other issues noted it just really missed the mark."
Poor CGI. McCarthy saved this movie.,2,"Melissa Ann McCarthy is one of my favorite comedy actor. She obviously saved the whole movie. She's Ursula is a crazy villain. Not only horrible but also bad ass. She's performance reminds me of a nightmare in my childhood. In my mind,Ursula is the best Disney villain ever. I really want to see a Ursula solo film directed by Paul Feige or Tim Burton. All hell the Queen Ursula!

As for Halle Bailey. I think she's not a good choice. She's good at singing ,but she is not a excellent actor. In my opinion, She's still young,and she'll make a great progress in the future.

We have Aquaman(2018) and Avatar:the way of water(2022). Both of the two film is epic. And the visuals is amazing. However,When I saw this film,the CGI just make me feel awful. What happened to Disney?"
Did not disappoint,10,The little Mermaid was my favorite movie growing up. I knew every word. I have been waiting for Disney to remake this one. My daughter and I absolutely loved it!! Halle was a perfect choice for Ariel. Her voice is amazing. Eric is very charming and the chemistry between him and Ariel was so perfect. I loved the extra scenes they added to really show the characters falling in love. The remake is not exactly like the original. But I really like the changes they made. Melissa McCarthy as Ursula was superb. She nailed the villain I remember as a child. Couldn't even tell this movie was over 2 hours long. Disney did an awesome job redoing The Little Mermaid.
Not a good remake,2,"The new Little Mermaid movie was boring and the characters were not believable. This is a remake that was far worse than the first movie. Was not impressed with the actress they chose to play Ariel. She did not act or look the part, and they could have chosen someone with a better rhythm and singing voice. In the first movie, Sebastian was great. He added a lot of comic relief, but in this movie, Sebastian just looked and acted odd. He use to be lovable, now he may traumatize kids instead of entertain them. The makers of this Movie could have done so much more with the characters. Maybe they should have just left a classic alone."
Just Enjoy It For What It Is,10,"I LOVED the disney animated classic. It was a staple pf my childhood. And it makes me very happy to know that today's generation will have their own version, and get to create their own memories of seeing it in a theater, having the Ariel dolls, and everything else that comes from having a monumental childhood classic. I thought this movie was very well done, because I wasn't expecting Avatar level CGI. The scenes were visually pleasing, but still whimsical and childlike. I can honestly say that I would not of done the casting any differently. Halle was fantastic, and the vocals give you chills. But same for Sebastian and Ursula, who provided comic relief and witty one liners. No it's not exactly the same as the original, but that's because its a different movie. If you are somebody that is going to be snobby and elitist over a movie meant to entertain children and adults alike, then you won't like this movie. However, if you're like me and you are easily entertained and just happy to be sitting in a movie theater, then I highly recommend using your movie theater time on this movie."
Broadway,5,"The stage should be Disney's aim-as illustrated by the fabulous Lion King-their reimagining of stories such as this are pure musical theatre as opposed to theatrical musical. Halle is awesome, on a stage. Jodi Benson is incomparable on film. The Soundtrack feels like an Original Broadway Cast album, not a criticism but an observation that speaks volumes to movie goers as opposed to theatre goers.

Spectacularly underwhelming result of what could have been the most amazing stage project rather than the non movie soundtrack album it has become.

Decent, in parts, excellent casting. Awesome source material. Poor/emotionless execution. Zero ambition.

Going to watch the 1989 animation now, knowing what could have become of that world..."
LOVED IT!!! Missed the wedding and rainbow at the end though...,10,"3 out of 12 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Do not compare it to the original and enjoy it,5,"There is an expectation that live action adaptations of animated films should be the same exact movie. This expectation does diminish the experience while watching the film as there are limitations in live action films that do not exist with animated films. Some of the characters do not look as they originally did because doing so would make them look less realistic or more animated. This film is best enjoyed by not comparing it to the original.

This film does a good job at being a children's story despite adults wanting it to be something more. The plot is kept very simple and easy to follow. The shipwreck scene that caused Ariel to rescue Eric was visually intriguing and also set up the story very well. The above water sequences were much better than those that took place underwater. The underwater scenes were sometimes strange to look at. The CGI was sometimes obvious and a bit off putting especially in scenes where the water was bright. There seemed to be a disconnect between the back and foreground.

Halle Bailey did a great job playing the role of Ariel. She was able to capture Ariel's innocence and emote those feelings on screen. She was able to use her expressions very well in the scenes where she was not allowed to speak. She also sang very well giving each song the emotion it needed. However, the song that she sang as an inner thought did not work well. She was singing but on screen she was just walking around and when it began it was a bit confusing. Perhaps they could have made her act out what she was singing even if she wasn't moving her lips.

Jonah Hauer-King who plays Eric (the prince) was an okay character. The film talks a bit about his desires but they are very surface level. These desires are merely mentioned to show the audience that his struggles are similar to Ariels. The one song he sang was fine but the transition from him singing on land to singing on the ship was weird. There wasn't an explanation as to why he was on the ship aside from making the performance seem more dramatic. Overall, his character was bland and not very Prince Charming. The romance he shares with Ariel is not really fleshed out. He and Ariel only knew each other for a few days and so it all felt very rushed and not very believable.

Melissa McCarthy as Ursula was great. She was very menacing and a lot of detail was put into her look. The song she sings is great and she did a good job performing it and making it feel part of the story. But her motives were a bit shallow like many of the other characters. All of the characters suffer from the same lack of development.

King Triton played by Javier Bardem was very limited in this role. He still managed to do a good enough job considering he was only in the story to tell Ariel what not to do and eventually have a change of heart. More could have been done with this character to showcase his powers, it could have served as a great battle between himself and Ursula.

David Diggs as Sebastian was very funny. The songs he sang were fine although I would say that they did not sound as great as the original singer. The animated film did provide more energy to his performances.

Scuttle who was played by Awkwafina worked for me in this role. She wasn't involved too much but just enough to be funny. I didn't mind the rap song she performed although some might be turned off by it.

Flounder who was played by Jacob Tremblay was one of the more underwhelming characters. He only had a few lines and was quite forgettable. Just like the mermaid sisters who served absolutely no purpose. The other role characters were played well but didn't do anything to add to the story.

Overall, this film was entertaining and a good enough film for families to watch. There could have been better character development which would off made the story much stronger. The CGI could have also been improved upon. The songs were not overwhelming but at the same time they were not very catchy. This film does lack heart, it was not an emotional film. By the end there wasn't any connection to any of the characters so the ending was not satisfying."
What happened?,4,"CGI awful. The story should have at least been nostalgic but somehow became boring.

WTH with the songs? Outside of the original songs, the new songs were lame. I felt like I was watching some toddler show intended to capture the attention the littles who need overly dramatic songs

I thought maybe it was just me and or adults but nope. You could hear some kids in theatre ask questions as to WTH was happening and who was what.

Loved the live action adaptation of Beauty and the beast, Cinderella, Aladdin, the lion King, Mulan etc. But this...

Then you have the obvious deviation from all other live action remakes to this version. Do t pay to see it. Wait to watch or rent it. Not worth the ticket price."
Absolutely amazing,9,"This movie was so good. No one could ever play Ariel the way Halle did. Didn't think it was possible to love her even more than I already did but this movie proved me wrong.

Jonah was also such a great cast for prince Eric. The chemistry between these two was so good and I hope that they do more movies together and maybe even a The Little Mermaid 2 because this movie deserves a sequel just for the cast.

Melissa surprised me because I wasn't expecting to like her as Ursula as much as I did.

The only reason this movie is not rated as 10/10 is simply because of Awkwafina's voice irritated me every time she spoke specially during Kiss The Girl. Her addition was widely annoying."
Keep missing on live action remakes.,1,"Beauty and The Beast - One of the best live action adaptation Disney has done. Don't get too excited as that wasn't even that great. Dumbo was excellent. Not much was changed in the film. It was enjoyable.

Now onto The Little Mermaid. Arguably my favorite Disney movie - the original. Why change the songs? If you're going to remake a classic Disney movie, do it well or don't do it at all. I think Disney has a lot of work to do to earn the fandom if they are going to continue.

I am an overall fan of film in general. It takes a lot for me to give poor reviews. It takes even more for me to walk out of or stop watching a film. I did finish The Little Mermaid. However, I was very underwhelmed."
Halle is so beautiful and her performance brought me to tears,10,"Halle had the most beautiful voice of any Disney princess live or cartoon, and it was so captivating every time she sang. Im so happy they chose a young actress for this role because I felt like she truly embodied the naive and curiosity that the cartoon Ariel had. The CGI was...interesting. Idk about the look of Sebatian and Flounder, I personally would have preferred the more cartoon look.

Overall i think it was one of the best live action renditions of a classic. The iconic 'Under the Sea' song and dance didn't disappoint and the cast reminded me of Rodgers & Hammerstein's Cinderella. Like that movie this is a classic i can see myself watching time and time again."
An ok Disney Movie,5,"Is a good movie to watch with kids, even if they fall sleep because it comes tedious and boring, but to watch once is enough, is not a bad movie, but of cousre it has it flaws and a lot of them, if u compare with the animated film obviously this one is Atroscious, but for today stupid standadrs is an ok movie, seriously is a just one watch movie, nothing else, the songs are ok, not great, the acting is hilarious and in many ways TeRRIBLE, but is a kids movie, kids from 3 to 6 will never see the bad acting, older kids of course will start laughing at the poor acting and will be going to buy candies or pop corn while sing in the movie, but overall is a 5 stars movie."
Enjoyable and Re-Watchable,9,"I love the classics and I very much dislike most of the remakes that Disney has been dishing out. In my perspective, there have only been 3 live action Disney films I have enjoyed just as much as the originals: 2015 Cinderella, Beauty and the Beast, and now the Little Mermaid. The songs were well done, they added a couple new songs as well, and they were fun to hear. The acting was very good. The only thing that seemed a little off was Sebastian's voice. I enjoyed the low voice of the original, which also made the old songs very memorable. But it's a small thing compared to the rest of the movie. There were no forced agendas in the movie either, which is something I have hated completely in most of these remakes. Definitely something I will rewatch again."
Is not a good movie,1,"8 out of 10 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
This remake should of been done to make the original movie better not worse.,2,"The storyline is just peedictable and can be very much boring, the characters changes made were worse and the movie writers should have focused on improving the story and making it more alive alike. And the water CGI is terrible. Most of the time the sea water sea is invisible. The little mermaid seems floating most of the time instead of swimming and the tails movement is just not natural like fish. The CGI team should have taken lessons from divers and not make everything by CGI which is not giving the results I was hoping for and I'm sure that the audience not matter the age will notice that the sea is just non existent due to the bad CGi and editing and even children will notice that something is not right with the whole sea CGi. I hope that the Disney team makes another Little mermaid with better CGI and storyline."
Incredible retelling of a beautiful love story,10,"First, Halle is incredible. Her singing was on point and her acting, even though you could tell this was her first role, was so well done. She brought her full self into the role. My favorite actor was Melissa McCarthy. She. Was. Balling! Her portrayal of Ursula was magical. And who knew Melissa could sing so well? My daughter has been belting out 'Poor unfortunate souls' a lot more than 'Part of your world'. And you can tell Melissa was in her bag. It is an incredible story, the music is near perfect - they even wrote a whole ass song for Eric and gave, this otherwise two dimensional guy, a whole new depth. Do yourself a favor, don't listen to the hate. Watch the darn movie, it's worth it."
Nice voice with nothing spacial much,2,The main characters are able to hold the story with wonderful voice but the picture and story cannot convey any spectacular message that they try to say. They seem try to stick with the original animation except the main character however there were some confusion on the story and something new which make the film too bluntly to impress and impact any feelings. The actors voices were the strongest thing in this story however the acting was too shallow and give some confusion. Some scenes were too boring for me as the story can be predicted and the actors were not able to create something that they would like to besides the looks which were not nice moves for original movie.
Excellent Movie! Must See!,10,The singing was superb and moving. The cinematography was stunning & engaging. The storyline was refreshing with a positive message of not judging others. The audience was clapping throughout the movie. My daughter & I were very moved when Hallie sang and created core memories. I highly recommend you go see this positive & uplifting movie. You will enjoy it!. All of the actors did an amazing job. I like the diversity of the cast and the beautiful representation on the screen. The movie displayed challenging yet loving parent child relationships. The actors made working under water seem effortless. Fantastic job!
"Out of this world MUSIC and acting, Horrid CGI and story telling",5,"9 out of 14 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Don't believe these reviews...,8,"The Little Mermaid is thoroughly enjoyable summer movie. It may be a bit too long for younger children but it kept us engaged to the very end. All of these reviews saying the CGI is bad are flat out lying. Everything done with computer effects is absolutely top notch and stunning; the storm on the ocean at the beginning was spectacular. The one star reviews you have been seeing are from people with no sense of wonder or imagination. Or from trolls who never saw the movie at all. Hallie is a wonderful young actress whose face just lights up the screen. Do yourself a favor and see this movie, if it doesn't make you feel good, then there is something wrong."
Lacking in almost every plotline,4,"12 out of 16 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
